id,bus_route_id,bus_stop_id,bus_stop_number,created_at,updated_at
247,590,36,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
248,50,36,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
249,501,37,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
250,502,37,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
251,505,37,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
252,506,37,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
253,931,38,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
254,911,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
255,912,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
256,913,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
257,914,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
258,915,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
259,916,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
260,917,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
261,918,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
262,919,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
263,920,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
264,938,39,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
265,931,40,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
266,628,41,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
267,629,41,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
268,630,41,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
269,631,41,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
270,632,41,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
271,636,41,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
272,311,42,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
273,499,43,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
274,306,43,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
275,487,44,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
276,306,44,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
277,487,45,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
278,306,45,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
279,311,46,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
280,499,47,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
281,487,48,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
282,499,49,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
283,499,50,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
284,499,51,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
285,499,52,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
286,487,53,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
287,499,54,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
288,487,55,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
289,499,55,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
290,487,56,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
291,499,56,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
292,311,57,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
293,487,58,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
294,499,58,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
295,487,59,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
296,499,59,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
297,499,60,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
298,311,60,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
299,499,61,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
300,311,61,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
301,499,62,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
