id,gml_id,name,latitude,longitude,created_at,updated_at,postal_code,prefecture,city,formatted_address,keyword
132,ED01_132,休暇村前,34.97310619,139.79257607,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
133,ED01_133,加賀名,34.97256107,139.78965873,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
134,ED01_134,名郷浦,34.972353,139.78701046,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
135,ED01_135,波佐間,34.97278345,139.78329092,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
136,ED01_136,坂田,34.97471104,139.7757285,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
137,ED01_137,西坂田,34.97500519,139.77116365,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
138,ED01_138,州の崎灯台前,34.97365369,139.75827856,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
139,ED01_139,州の崎神社前,34.96827162,139.75652647,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
140,ED01_140,芝台,34.96047798,139.76179562,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
141,ED01_141,白島,34.95897067,139.7655618,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
142,ED01_142,伊戸,34.95726725,139.77265528,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
143,ED01_143,平砂浦ビーチホテル前,34.95709515,139.77769065,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
144,ED01_144,東光寺前,34.95196536,139.82212844,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
145,ED01_145,布沼,34.95155895,139.82519692,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
146,ED01_146,中原台,34.95049307,139.8270075,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
147,ED01_147,洲宮口,34.94843313,139.82988315,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
148,ED01_148,砂山口,34.94704232,139.83498081,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
149,ED01_149,平砂浦,34.95651405,139.78321036,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
150,ED01_150,平砂浦海岸,34.95421899,139.78778152,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
151,ED01_151,ゴルフ場前,34.94859509,139.80794834,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
152,ED01_152,ファミリーパーク前,34.94586923,139.81404404,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
153,ED01_153,南房パラダイス,34.93772122,139.82256566,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
154,ED01_154,いこいの村,34.93483703,139.82524909,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
155,ED01_155,巴原,34.92984016,139.82966444,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
156,ED01_156,西川名,34.96252962,139.75890727,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
157,ED01_157,神余小学校,34.9306843,139.869309,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
158,ED01_158,犬石,34.93226493,139.83902101,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
